model,features,accuracy,error%,rappel,precision,f1_score,average_precision_score,time_train,time_pred
SVC (kernel=poly),HOG,0.9868512110726644,1.314878892733562,0.9365079365079365,0.9874476987447699,0.9613034623217924,0.9358252711208366,22.418278455734253,5.195679664611816
SVC (kernel=poly),DAISY,0.9813148788927336,1.868512110726639,0.9246031746031746,0.966804979253112,0.9452332657200813,0.9070597419669194,108.01497268676758,24.31349754333496
Logistic Regression (max_iter=400),HOG,0.9806228373702423,1.937716262975775,0.9206349206349206,0.9666666666666667,0.943089430894309,0.9037879203969169,0.6873784065246582,0.0036873817443847656
Logistic Regression (max_iter=200),HOG,0.9806228373702423,1.937716262975775,0.9206349206349206,0.9666666666666667,0.943089430894309,0.9037879203969169,0.700054407119751,0.01275324821472168
SVC (kernel=rbf),HOG,0.9799307958477509,2.006920415224911,0.8968253968253969,0.9868995633187773,0.9397089397089398,0.9030696720849484,24.48975157737732,9.351647138595581
SVC,HOG,0.9799307958477509,2.006920415224911,0.8968253968253969,0.9868995633187773,0.9397089397089398,0.9030696720849484,24.272170543670654,9.2567720413208
Logistic Regression (max_iter=25),HOG,0.9799307958477509,2.006920415224911,0.9166666666666666,0.9665271966527197,0.9409368635437881,0.9005161355706447,0.7180304527282715,0.015188217163085938
Linear SVC,HOG,0.9764705882352941,2.352941176470591,0.9166666666666666,0.9467213114754098,0.9314516129032258,0.8823607408247773,4.258290767669678,0.0036478042602539062
SVC,DAISY,0.9737024221453288,2.629757785467124,0.876984126984127,0.9692982456140351,0.9208333333333333,0.8715124629143023,179.62707233428955,70.5936815738678
SVC (kernel=rbf),DAISY,0.9737024221453288,2.629757785467124,0.876984126984127,0.9692982456140351,0.9208333333333333,0.8715124629143023,184.82391715049744,66.01643824577332
Linear SVC,DAISY,0.972318339100346,2.768166089965396,0.8571428571428571,0.9818181818181818,0.9152542372881356,0.8664719363681301,16.617560863494873,0.10022878646850586
AdaBoost (n_estimators=100),HOG,0.9709342560553633,2.906574394463668,0.8611111111111112,0.96875,0.911764705882353,0.8584228421760862,432.00755190849304,1.5381667613983154
AdaBoost (n_estimators=100),DAISY,0.9695501730103806,3.04498269896194,0.8571428571428571,0.9642857142857143,0.9075630252100839,0.8514441070545865,3188.2419471740723,10.482335090637207
